Repository,File_Path,File_Type,Commit_SHA,Parent_SHA,Message,Diff_Myers,Diff_Hist,Discrepancy
repositories/httpie,httpie/httpie.py,Source Code,5653b9c6a010c7e64d778c350644fa722a289139,65a2fc70426aec7c99eb3b67bb20effd9df3150f,Added --headers and --body to limit the output.,,,No
repositories/httpie,httpie/pretty.py,Source Code,5653b9c6a010c7e64d778c350644fa722a289139,65a2fc70426aec7c99eb3b67bb20effd9df3150f,Added --headers and --body to limit the output.,,,No
repositories/httpie,httpie/httpie.py,Source Code,4059dbc27a3d6fc8ef269b43223c602963458861,5653b9c6a010c7e64d778c350644fa722a289139,Fixed header formatting.,,,No
repositories/httpie,httpie/pretty.py,Source Code,4059dbc27a3d6fc8ef269b43223c602963458861,5653b9c6a010c7e64d778c350644fa722a289139,Fixed header formatting.,,,No
repositories/httpie,httpie/httpie.py,Source Code,98e320a1a34c0c6d552a98cff83b466c3f498630,4059dbc27a3d6fc8ef269b43223c602963458861,Added error handling.,,,No
repositories/httpie,httpie/pretty.py,Source Code,98e320a1a34c0c6d552a98cff83b466c3f498630,4059dbc27a3d6fc8ef269b43223c602963458861,Added error handling.,,,No
repositories/httpie,httpie/httpie.py,Source Code,459c9f1a337ccc7a7aa865b0a80314ce9a7a743e,98e320a1a34c0c6d552a98cff83b466c3f498630,Added Solarized color scheme for Pygments by @gthank.,,,No
repositories/httpie,setup.py,Source Code,459c9f1a337ccc7a7aa865b0a80314ce9a7a743e,98e320a1a34c0c6d552a98cff83b466c3f498630,Added Solarized color scheme for Pygments by @gthank.,"diff --git a/setup.py b/setup.py
index debf950..43826cd 100644
--- a/setup.py
+++ b/setup.py
@@ -1,11 +1,12 @@
 from setuptools import setup
+from httpie import httpie
 
 
-setup(name='httpie',version='0.1.1',
-    description='cURL for humans',
+setup(name='httpie',version=httpie.__version__,
+    description=httpie.__doc__.strip(),
     url='https://github.com/jkbr/httpie',
-    author='Jakub Roztocil',
-    license='BSD',
+    author=httpie.__author__,
+    license=httpie.__licence__,
     pa","diff --git a/setup.py b/setup.py
index debf950..43826cd 100644
--- a/setup.py
+++ b/setup.py
@@ -1,11 +1,12 @@
 from setuptools import setup
+from httpie import httpie
 
 
-setup(name='httpie',version='0.1.1',
-    description='cURL for humans',
+setup(name='httpie',version=httpie.__version__,
+    description=httpie.__doc__.strip(),
     url='https://github.com/jkbr/httpie',
-    author='Jakub Roztocil',
-    license='BSD',
+    author=httpie.__author__,
+    license=httpie.__licence__,
     pa",No
repositories/httpie,README.md,README,258fc0cd5fca5701cc9f98879b108a9abbd055fe,459c9f1a337ccc7a7aa865b0a80314ce9a7a743e,Renamed the CLI tool `http`.,"diff --git a/README.md b/README.md
index 164ff7d..27c10bb 100644
--- a/README.md
+++ b/README.md
@@ -1,6 +1,6 @@
 ## HTTPie: cURL for humans
 
-HTTPie is a CLI frontend for [python-requests](http://python-requests.org).
+HTTPie is a CLI frontend for [python-requests](http://python-requests.org) build out of frustration from using `curl`. It provides an `http` command that can be used to easily issue HTTP requests. It is meant to be used by humans to interact with HTTP-based APIs and web servers.","diff --git a/README.md b/README.md
index 164ff7d..27c10bb 100644
--- a/README.md
+++ b/README.md
@@ -1,6 +1,6 @@
 ## HTTPie: cURL for humans
 
-HTTPie is a CLI frontend for [python-requests](http://python-requests.org).
+HTTPie is a CLI frontend for [python-requests](http://python-requests.org) build out of frustration from using `curl`. It provides an `http` command that can be used to easily issue HTTP requests. It is meant to be used by humans to interact with HTTP-based APIs and web servers.",Yes
repositories/httpie,httpie.png,Other,258fc0cd5fca5701cc9f98879b108a9abbd055fe,459c9f1a337ccc7a7aa865b0a80314ce9a7a743e,Renamed the CLI tool `http`.,"diff --git a/httpie.png b/httpie.png
index 5bda104..a931af7 100644
Binary files a/httpie.png and b/httpie.png differ
","diff --git a/httpie.png b/httpie.png
index 5bda104..a931af7 100644
Binary files a/httpie.png and b/httpie.png differ
",No
repositories/httpie,httpie/httpie.py,Source Code,258fc0cd5fca5701cc9f98879b108a9abbd055fe,459c9f1a337ccc7a7aa865b0a80314ce9a7a743e,Renamed the CLI tool `http`.,,,No
repositories/httpie,setup.py,Source Code,258fc0cd5fca5701cc9f98879b108a9abbd055fe,459c9f1a337ccc7a7aa865b0a80314ce9a7a743e,Renamed the CLI tool `http`.,"diff --git a/setup.py b/setup.py
index 43826cd..81e2ec8 100644
--- a/setup.py
+++ b/setup.py
@@ -8,5 +8,5 @@ setup(name='httpie',version=httpie.__version__,
     author=httpie.__author__,
     license=httpie.__licence__,
     packages=['httpie'],
-    entry_points={'console_scripts': ['httpie = httpie.httpie:main']},
+    entry_points={'console_scripts': ['http = httpie.httpie:main']},
     install_requires=['requests>=0.10.4', 'Pygments>=1.4'])
","diff --git a/setup.py b/setup.py
index 43826cd..81e2ec8 100644
--- a/setup.py
+++ b/setup.py
@@ -8,5 +8,5 @@ setup(name='httpie',version=httpie.__version__,
     author=httpie.__author__,
     license=httpie.__licence__,
     packages=['httpie'],
-    entry_points={'console_scripts': ['httpie = httpie.httpie:main']},
+    entry_points={'console_scripts': ['http = httpie.httpie:main']},
     install_requires=['requests>=0.10.4', 'Pygments>=1.4'])
",No
repositories/httpie,README.md,README,899513858a317208ed4022a7937b1e842856cb48,258fc0cd5fca5701cc9f98879b108a9abbd055fe,typo,"diff --git a/README.md b/README.md
index 27c10bb..6c04437 100644
--- a/README.md
+++ b/README.md
@@ -1,6 +1,6 @@
 ## HTTPie: cURL for humans
 
-HTTPie is a CLI frontend for [python-requests](http://python-requests.org) build out of frustration from using `curl`. It provides an `http` command that can be used to easily issue HTTP requests. It is meant to be used by humans to interact with HTTP-based APIs and web servers. The response headers are colorized and the body is syntax-highlighed if its ","diff --git a/README.md b/README.md
index 27c10bb..6c04437 100644
--- a/README.md
+++ b/README.md
@@ -1,6 +1,6 @@
 ## HTTPie: cURL for humans
 
-HTTPie is a CLI frontend for [python-requests](http://python-requests.org) build out of frustration from using `curl`. It provides an `http` command that can be used to easily issue HTTP requests. It is meant to be used by humans to interact with HTTP-based APIs and web servers. The response headers are colorized and the body is syntax-highlighed if its ",No
repositories/httpie,httpie/httpie.py,Source Code,f73aaa844f760e171a68e21d7796a62e7ae51c20,899513858a317208ed4022a7937b1e842856cb48,Syntax error fix,,,No
repositories/httpie,httpie/__init__.py,Source Code,71b6b126c05b9a7cdec750c9d923d4f03855b577,258fc0cd5fca5701cc9f98879b108a9abbd055fe,Fixed setup.py to work without having pygments already installed. Closes #1.,,,No
repositories/httpie,httpie/httpie.py,Source Code,71b6b126c05b9a7cdec750c9d923d4f03855b577,258fc0cd5fca5701cc9f98879b108a9abbd055fe,Fixed setup.py to work without having pygments already installed. Closes #1.,,,No
repositories/httpie,setup.py,Source Code,71b6b126c05b9a7cdec750c9d923d4f03855b577,258fc0cd5fca5701cc9f98879b108a9abbd055fe,Fixed setup.py to work without having pygments already installed. Closes #1.,"diff --git a/setup.py b/setup.py
index 81e2ec8..afeae2d 100644
--- a/setup.py
+++ b/setup.py
@@ -1,5 +1,5 @@
 from setuptools import setup
-from httpie import httpie
+import httpie
 
 
 setup(name='httpie',version=httpie.__version__,
","diff --git a/setup.py b/setup.py
index 81e2ec8..afeae2d 100644
--- a/setup.py
+++ b/setup.py
@@ -1,5 +1,5 @@
 from setuptools import setup
-from httpie import httpie
+import httpie
 
 
 setup(name='httpie',version=httpie.__version__,
",No
repositories/httpie,httpie/httpie.py,Source Code,b567104267c4de7b16af1498906cd7fe61d33579,f73aaa844f760e171a68e21d7796a62e7ae51c20,Removed the lists in favour of generators,,,No
repositories/httpie,httpie/httpie.py,Source Code,2f569b901dcd5852d16a88084af19883ee847f3e,b567104267c4de7b16af1498906cd7fe61d33579,Not all web servers return UTF-8 and will crash httpie when decoding the response,,,No
repositories/httpie,httpie/httpie.py,Source Code,ecf968388b56eccfda9ea5f5abb4f8299476a4aa,b0cebd68a106b6407cb9633358ff89e1ab65937e,"Fixed __version__ and __doc__ import. Thanks, @FND.",,,No
repositories/httpie,httpie/httpie.py,Source Code,6f9ad9e4e10df653e5d8cd9f70626b809dec71eb,2f569b901dcd5852d16a88084af19883ee847f3e,"Revert ""Not all web servers return UTF-8 and will crash httpie when decoding the response""",,,No
repositories/httpie,httpie/httpie.py,Source Code,0293ba179916b784b86c05bbb41ba24487058091,f90ae113e4e9f7413215465dfa993eaadd64938b,Do not assume UTF-8.,,,No
repositories/httpie,httpie/__init__.py,Source Code,1a88ae647ef806cfbdbaf2cd069854139ca73a72,0293ba179916b784b86c05bbb41ba24487058091,0.1.4,,,No
repositories/httpie,httpie/httpie.py,Source Code,553941c98d16ce5655876a00505d1ff47a2e4a7e,1a88ae647ef806cfbdbaf2cd069854139ca73a72,"added support to use other pygments styles, falback to solarized",,,No
repositories/httpie,httpie/pretty.py,Source Code,553941c98d16ce5655876a00505d1ff47a2e4a7e,1a88ae647ef806cfbdbaf2cd069854139ca73a72,"added support to use other pygments styles, falback to solarized",,,No
repositories/httpie,httpie/pretty.py,Source Code,b752b59d92ed035eac4c258a335378dd52a1c9ab,553941c98d16ce5655876a00505d1ff47a2e4a7e,remove unnecessary partial call,,,No
repositories/httpie,httpie/pretty.py,Source Code,f934f4345eaccd3fcf97b0ca59f7227ac2d568c2,1a88ae647ef806cfbdbaf2cd069854139ca73a72,Support for terminals not using 256 color,,,No
repositories/httpie,setup.py,Source Code,d768959084b6ec19f3888753bb6cec297b6a6d9f,1a88ae647ef806cfbdbaf2cd069854139ca73a72,* Added argparse to install_requires.,"diff --git a/setup.py b/setup.py
index afeae2d..8796bb9 100644
--- a/setup.py
+++ b/setup.py
@@ -9,4 +9,4 @@ setup(name='httpie',version=httpie.__version__,
     license=httpie.__licence__,
     packages=['httpie'],
     entry_points={'console_scripts': ['http = httpie.httpie:main']},
-    install_requires=['requests>=0.10.4', 'Pygments>=1.4'])
+    install_requires=['requests>=0.10.4', 'Pygments>=1.4', 'argparse>=1.2.1'])
","diff --git a/setup.py b/setup.py
index afeae2d..8796bb9 100644
--- a/setup.py
+++ b/setup.py
@@ -9,4 +9,4 @@ setup(name='httpie',version=httpie.__version__,
     license=httpie.__licence__,
     packages=['httpie'],
     entry_points={'console_scripts': ['http = httpie.httpie:main']},
-    install_requires=['requests>=0.10.4', 'Pygments>=1.4'])
+    install_requires=['requests>=0.10.4', 'Pygments>=1.4', 'argparse>=1.2.1'])
",No
repositories/httpie,setup.py,Source Code,3442a5d037f0bddb1cf4bad55a56dac41b330515,5cd40916fe622ae02a5df46423e14062444118b4,Made argparse required only for Python < 2.7.,"diff --git a/setup.py b/setup.py
index 8796bb9..e6cd692 100644
--- a/setup.py
+++ b/setup.py
@@ -1,7 +1,14 @@
+import sys
 from setuptools import setup
 import httpie
 
 
+requirements = ['requests>=0.10.4', 'Pygments>=1.4']
+
+if sys.version_info < (2 , 7):
+    requirements.append('argparse>=1.2.1')
+
+
 setup(name='httpie',version=httpie.__version__,
     description=httpie.__doc__.strip(),
     url='https://github.com/jkbr/httpie',
@@ -9,4 +16,4 @@ setup(name='httpie',version=httpie.__versio","diff --git a/setup.py b/setup.py
index 8796bb9..e6cd692 100644
--- a/setup.py
+++ b/setup.py
@@ -1,7 +1,14 @@
+import sys
 from setuptools import setup
 import httpie
 
 
+requirements = ['requests>=0.10.4', 'Pygments>=1.4']
+
+if sys.version_info < (2 , 7):
+    requirements.append('argparse>=1.2.1')
+
+
 setup(name='httpie',version=httpie.__version__,
     description=httpie.__doc__.strip(),
     url='https://github.com/jkbr/httpie',
@@ -9,4 +16,4 @@ setup(name='httpie',version=httpie.__versio",No
repositories/httpie,README.md,README,bb653bf1a957de2859ab3ad98e6cd61f1137e71b,94c605fac15b35aa61854546716f7b7f16f82fb6,Added first tests.,"diff --git a/README.md b/README.md
index 6c04437..d9d92ed 100644
--- a/README.md
+++ b/README.md
@@ -35,11 +35,11 @@ The data to be sent can also be passed via `stdin`:
 
 Most of the flags mirror the arguments you would use with `requests.request`. See `http -h`:
 
-    $ http -h
-    usage: http [-h] [--json | --form] [--traceback] [--ugly] [--headers | --body]
-                [--auth AUTH] [--verify VERIFY] [--proxy PROXY]
-                [--allow-redirects] [--file PATH] [--timeout TIMEOUT","diff --git a/README.md b/README.md
index 6c04437..d9d92ed 100644
--- a/README.md
+++ b/README.md
@@ -35,11 +35,11 @@ The data to be sent can also be passed via `stdin`:
 
 Most of the flags mirror the arguments you would use with `requests.request`. See `http -h`:
 
-    $ http -h
-    usage: http [-h] [--json | --form] [--traceback] [--ugly] [--headers | --body]
-                [--auth AUTH] [--verify VERIFY] [--proxy PROXY]
-                [--allow-redirects] [--file PATH] [--timeout TIMEOUT",No
repositories/httpie,httpie/httpie.py,Source Code,bb653bf1a957de2859ab3ad98e6cd61f1137e71b,94c605fac15b35aa61854546716f7b7f16f82fb6,Added first tests.,,,No
repositories/httpie,tests.py,Test Code,bb653bf1a957de2859ab3ad98e6cd61f1137e71b,94c605fac15b35aa61854546716f7b7f16f82fb6,Added first tests.,"diff --git a/tests.py b/tests.py
index 7ab258c..6e5aec6 100644
--- a/tests.py
+++ b/tests.py
@@ -1,3 +1,36 @@
 import unittest
+from StringIO import StringIO
+from httpie import httpie
 
 
+def http(*args, **kwargs):
+    stdout = StringIO()
+    httpie.main(args=args, stdout=stdout,
+                stdin_isatty=True,
+                stdout_isatty=False)
+    return stdout.getvalue()
+
+
+# TODO: moar!
+
+class TestHTTPie(unittest.TestCase):
+
+    def test_get(self):
+        http('GET', 'htt","diff --git a/tests.py b/tests.py
index 7ab258c..6e5aec6 100644
--- a/tests.py
+++ b/tests.py
@@ -1,3 +1,36 @@
 import unittest
+from StringIO import StringIO
+from httpie import httpie
 
 
+def http(*args, **kwargs):
+    stdout = StringIO()
+    httpie.main(args=args, stdout=stdout,
+                stdin_isatty=True,
+                stdout_isatty=False)
+    return stdout.getvalue()
+
+
+# TODO: moar!
+
+class TestHTTPie(unittest.TestCase):
+
+    def test_get(self):
+        http('GET', 'htt",No
repositories/httpie,httpie/httpie.py,Source Code,9634dca7d84e5e013c8a0a54b2f6960a0aa74fdd,bb653bf1a957de2859ab3ad98e6cd61f1137e71b,Fixed a `UnicodeError` in Python 2.6.,,,No
repositories/httpie,httpie/httpie.py,Source Code,860a851a4b0ba7f6dfd3287c19d7d2ece5ec7946,9634dca7d84e5e013c8a0a54b2f6960a0aa74fdd,Fixed a missing line between headers and body.,,,No
repositories/httpie,setup.py,Source Code,d670513c9fe4f84bfc0eae6cf5e4a585aea61dc8,860a851a4b0ba7f6dfd3287c19d7d2ece5ec7946,use the __main__ submodule convention to make it possible to use `python -m httpie`,"diff --git a/setup.py b/setup.py
index e6cd692..2b36c24 100644
--- a/setup.py
+++ b/setup.py
@@ -15,5 +15,5 @@ setup(name='httpie',version=httpie.__version__,
     author=httpie.__author__,
     license=httpie.__licence__,
     packages=['httpie'],
-    entry_points={'console_scripts': ['http = httpie.httpie:main']},
+    entry_points={'console_scripts': ['http = httpie.__main__:main']},
     install_requires=requirements)
","diff --git a/setup.py b/setup.py
index e6cd692..2b36c24 100644
--- a/setup.py
+++ b/setup.py
@@ -15,5 +15,5 @@ setup(name='httpie',version=httpie.__version__,
     author=httpie.__author__,
     license=httpie.__licence__,
     packages=['httpie'],
-    entry_points={'console_scripts': ['http = httpie.httpie:main']},
+    entry_points={'console_scripts': ['http = httpie.__main__:main']},
     install_requires=requirements)
",No
repositories/httpie,tests.py,Test Code,d670513c9fe4f84bfc0eae6cf5e4a585aea61dc8,860a851a4b0ba7f6dfd3287c19d7d2ece5ec7946,use the __main__ submodule convention to make it possible to use `python -m httpie`,"diff --git a/tests.py b/tests.py
index 6e5aec6..5d2d9b1 100644
--- a/tests.py
+++ b/tests.py
@@ -1,13 +1,12 @@
 import unittest
 from StringIO import StringIO
-from httpie import httpie
+from httpie import __main__
 
 
 def http(*args, **kwargs):
     stdout = StringIO()
-    httpie.main(args=args, stdout=stdout,
-                stdin_isatty=True,
-                stdout_isatty=False)
+    __main__.main(args=args, stdout=stdout, stdin_isatty=True,
+                  stdout_isatty=False)
     re","diff --git a/tests.py b/tests.py
index 6e5aec6..5d2d9b1 100644
--- a/tests.py
+++ b/tests.py
@@ -1,13 +1,12 @@
 import unittest
 from StringIO import StringIO
-from httpie import httpie
+from httpie import __main__
 
 
 def http(*args, **kwargs):
     stdout = StringIO()
-    httpie.main(args=args, stdout=stdout,
-                stdin_isatty=True,
-                stdout_isatty=False)
+    __main__.main(args=args, stdout=stdout, stdin_isatty=True,
+                  stdout_isatty=False)
     re",No
repositories/httpie,httpie/httpie.py,Source Code,84a0d4a35ddc050b36cc7e5ed084f1948583227e,860a851a4b0ba7f6dfd3287c19d7d2ece5ec7946,Added forcing pretty printing for piping purposes.,,,No
repositories/httpie,httpie/httpie.py,Source Code,58f74fe14a141db3b12704c2999abe31c36a28e2,84a0d4a35ddc050b36cc7e5ed084f1948583227e,Force pretty printing (ignore last commit; stupid undo mistake),,,No
repositories/httpie,httpie/httpie.py,Source Code,dd8faecbf7fd82a8e8612f67e3b2a545d790d910,860a851a4b0ba7f6dfd3287c19d7d2ece5ec7946,Pass allow_redirects to request so --allow-redirects works.,,,No
repositories/httpie,README.md,README,81798ad537be2e2f2b0133e5c46e47ac85739555,860a851a4b0ba7f6dfd3287c19d7d2ece5ec7946,Typo.,"diff --git a/README.md b/README.md
index d9d92ed..d3d1840 100644
--- a/README.md
+++ b/README.md
@@ -1,6 +1,6 @@
 ## HTTPie: cURL for humans
 
-HTTPie is a CLI frontend for [python-requests](http://python-requests.org) built out of frustration. It provides an `http` command that can be used to easily issue HTTP requests. It is meant to be used by humans to interact with HTTP-based APIs and web servers. The response headers are colorized and the body is syntax-highlighed if its `Content-Type` is ","diff --git a/README.md b/README.md
index d9d92ed..d3d1840 100644
--- a/README.md
+++ b/README.md
@@ -1,6 +1,6 @@
 ## HTTPie: cURL for humans
 
-HTTPie is a CLI frontend for [python-requests](http://python-requests.org) built out of frustration. It provides an `http` command that can be used to easily issue HTTP requests. It is meant to be used by humans to interact with HTTP-based APIs and web servers. The response headers are colorized and the body is syntax-highlighed if its `Content-Type` is ",No
repositories/httpie,README.md,README,5d3176115a0d8792620730c2ab67066b99d46109,81798ad537be2e2f2b0133e5c46e47ac85739555,Correct usage string in README.,"diff --git a/README.md b/README.md
index d3d1840..55ba5c1 100644
--- a/README.md
+++ b/README.md
@@ -35,11 +35,10 @@ The data to be sent can also be passed via `stdin`:
 
 Most of the flags mirror the arguments you would use with `requests.request`. See `http -h`:
 
-    usage: httpie.py [-h] [--json | --form] [--traceback] [--ugly]
-                     [--headers | --body] [--style STYLE] [--auth AUTH]
-                     [--verify VERIFY] [--proxy PROXY] [--allow-redirects]
-               ","diff --git a/README.md b/README.md
index d3d1840..55ba5c1 100644
--- a/README.md
+++ b/README.md
@@ -35,11 +35,10 @@ The data to be sent can also be passed via `stdin`:
 
 Most of the flags mirror the arguments you would use with `requests.request`. See `http -h`:
 
-    usage: httpie.py [-h] [--json | --form] [--traceback] [--ugly]
-                     [--headers | --body] [--style STYLE] [--auth AUTH]
-                     [--verify VERIFY] [--proxy PROXY] [--allow-redirects]
-               ",No
repositories/httpie,httpie/httpie.py,Source Code,00312ead28b26493a99d280bd821a5e02b9169b7,d02ac54130c8dd2820bdb5ff17c5085bcc4672ec,Refactored --pretty and added tests.,,,No
